FarmApp,public,__EFMigrationsHistory,FarmApp,public,PK___EFMigrationsHistory
FarmApp,api,ApiMethods,FarmApp,api,PK_ApiMethods
FarmApp,dist,CodeAthTypes,FarmApp,dist,PK_CodeAthTypes
FarmApp,dist,CodeAthTypes,FarmApp,dist,FK_CodeAthTypes_CodeAthTypes_CodeAthId
FarmApp,dist,RegionTypes,FarmApp,dist,PK_RegionTypes
FarmApp,dist,Roles,FarmApp,dist,PK_Roles
FarmApp,dist,Vendors,FarmApp,dist,PK_Vendors
FarmApp,log,Logs,FarmApp,log,PK_Logs
FarmApp,dist,Regions,FarmApp,dist,PK_Regions
FarmApp,dist,Regions,FarmApp,dist,FK_Regions_Regions_RegionId
FarmApp,dist,RegionTypes,FarmApp,dist,FK_Regions_RegionTypes_RegionTypeId
FarmApp,api,ApiMethodRoles,FarmApp,api,PK_ApiMethodRoles
FarmApp,api,ApiMethods,FarmApp,api,FK_ApiMethodRoles_ApiMethods_ApiMethodId
FarmApp,dist,Roles,FarmApp,api,FK_ApiMethodRoles_Roles_RoleId
FarmApp,dist,Users,FarmApp,dist,PK_Users
FarmApp,dist,Roles,FarmApp,dist,FK_Users_Roles_RoleId
FarmApp,dist,Pharmacies,FarmApp,dist,PK_Pharmacies
FarmApp,dist,Pharmacies,FarmApp,dist,FK_Pharmacies_Pharmacies_PharmacyId
FarmApp,dist,Regions,FarmApp,dist,FK_Pharmacies_Regions_RegionId
FarmApp,tab,Stocks,FarmApp,tab,PK_Stocks
FarmApp,dist,Pharmacies,FarmApp,tab,FK_Stocks_Pharmacies_PharmacyId
FarmApp,tab,Drugs,FarmApp,tab,PK_Drugs
FarmApp,dist,CodeAthTypes,FarmApp,tab,FK_Drugs_CodeAthTypes_CodeAthTypeId
FarmApp,tab,Stocks,FarmApp,tab,FK_Drugs_Stocks_StockId
FarmApp,dist,Vendors,FarmApp,tab,FK_Drugs_Vendors_VendorId
FarmApp,tab,Sales,FarmApp,tab,PK_Sales
FarmApp,tab,Drugs,FarmApp,tab,FK_Sales_Drugs_DrugId
FarmApp,dist,Pharmacies,FarmApp,tab,FK_Sales_Pharmacies_PharmacyId
