FarmApp,public,PK___EFMigrationsHistory,FarmApp,public,__EFMigrationsHistory,PRIMARY KEY,NO,NO,YES
FarmApp,api,PK_ApiMethods,FarmApp,api,ApiMethods,PRIMARY KEY,NO,NO,YES
FarmApp,dist,PK_CodeAthTypes,FarmApp,dist,CodeAthTypes,PRIMARY KEY,NO,NO,YES
FarmApp,dist,FK_CodeAthTypes_CodeAthTypes_CodeAthId,FarmApp,dist,CodeAthTypes,FOREIGN KEY,NO,NO,YES
FarmApp,dist,PK_RegionTypes,FarmApp,dist,RegionTypes,PRIMARY KEY,NO,NO,YES
FarmApp,dist,PK_Roles,FarmApp,dist,Roles,PRIMARY KEY,NO,NO,YES
FarmApp,dist,PK_Vendors,FarmApp,dist,Vendors,PRIMARY KEY,NO,NO,YES
FarmApp,log,PK_Logs,FarmApp,log,Logs,PRIMARY KEY,NO,NO,YES
FarmApp,dist,PK_Regions,FarmApp,dist,Regions,PRIMARY KEY,NO,NO,YES
FarmApp,dist,FK_Regions_Regions_RegionId,FarmApp,dist,Regions,FOREIGN KEY,NO,NO,YES
FarmApp,dist,FK_Regions_RegionTypes_RegionTypeId,FarmApp,dist,Regions,FOREIGN KEY,NO,NO,YES
FarmApp,api,PK_ApiMethodRoles,FarmApp,api,ApiMethodRoles,PRIMARY KEY,NO,NO,YES
FarmApp,api,FK_ApiMethodRoles_ApiMethods_ApiMethodId,FarmApp,api,ApiMethodRoles,FOREIGN KEY,NO,NO,YES
FarmApp,api,FK_ApiMethodRoles_Roles_RoleId,FarmApp,api,ApiMethodRoles,FOREIGN KEY,NO,NO,YES
FarmApp,dist,PK_Users,FarmApp,dist,Users,PRIMARY KEY,NO,NO,YES
FarmApp,dist,FK_Users_Roles_RoleId,FarmApp,dist,Users,FOREIGN KEY,NO,NO,YES
FarmApp,dist,PK_Pharmacies,FarmApp,dist,Pharmacies,PRIMARY KEY,NO,NO,YES
FarmApp,dist,FK_Pharmacies_Pharmacies_PharmacyId,FarmApp,dist,Pharmacies,FOREIGN KEY,NO,NO,YES
FarmApp,dist,FK_Pharmacies_Regions_RegionId,FarmApp,dist,Pharmacies,FOREIGN KEY,NO,NO,YES
FarmApp,tab,PK_Stocks,FarmApp,tab,Stocks,PRIMARY KEY,NO,NO,YES
FarmApp,tab,FK_Stocks_Pharmacies_PharmacyId,FarmApp,tab,Stocks,FOREIGN KEY,NO,NO,YES
FarmApp,tab,PK_Drugs,FarmApp,tab,Drugs,PRIMARY KEY,NO,NO,YES
FarmApp,tab,FK_Drugs_CodeAthTypes_CodeAthTypeId,FarmApp,tab,Drugs,FOREIGN KEY,NO,NO,YES
FarmApp,tab,FK_Drugs_Stocks_StockId,FarmApp,tab,Drugs,FOREIGN KEY,NO,NO,YES
FarmApp,tab,FK_Drugs_Vendors_VendorId,FarmApp,tab,Drugs,FOREIGN KEY,NO,NO,YES
FarmApp,tab,PK_Sales,FarmApp,tab,Sales,PRIMARY KEY,NO,NO,YES
FarmApp,tab,FK_Sales_Drugs_DrugId,FarmApp,tab,Sales,FOREIGN KEY,NO,NO,YES
FarmApp,tab,FK_Sales_Pharmacies_PharmacyId,FarmApp,tab,Sales,FOREIGN KEY,NO,NO,YES
FarmApp,pg_catalog,11_1255_1_not_null,FarmApp,pg_catalog,pg_proc,CHECK,NO,NO,YES
FarmApp,pg_catalog,11_1255_2_not_null,FarmApp,pg_catalog,pg_proc,CHECK,NO,NO,YES
FarmApp,pg_catalog,11_1255_3_not_null,FarmApp,pg_catalog,pg_proc,CHECK,NO,NO,YES
FarmApp,pg_catalog,11_1255_4_not_null,FarmApp,pg_catalog,pg_proc,CHECK,NO,NO,YES
FarmApp,pg_catalog,11_1255_5_not_null,FarmApp,pg_catalog,pg_proc,CHECK,NO,NO,YES
FarmApp,pg_catalog,11_1255_6_not_null,FarmApp,pg_catalog,pg_proc,CHECK,NO,NO,YES
FarmApp,pg_catalog,11_1255_7_not_null,FarmApp,pg_catalog,pg_proc,CHECK,NO,NO,YES
FarmApp,pg_catalog,11_1255_8_not_null,FarmApp,pg_catalog,pg_proc,CHECK,NO,NO,YES
FarmApp,pg_catalog,11_1255_9_not_null,FarmApp,pg_catalog,pg_proc,CHECK,NO,NO,YES
FarmApp,pg_catalog,11_1255_10_not_null,FarmApp,pg_catalog,pg_proc,CHECK,NO,NO,YES
FarmApp,pg_catalog,11_1255_11_not_null,FarmApp,pg_catalog,pg_proc,CHECK,NO,NO,YES
FarmApp,pg_catalog,11_1255_12_not_null,FarmApp,pg_catalog,pg_proc,CHECK,NO,NO,YES
FarmApp,pg_catalog,11_1255_13_not_null,FarmApp,pg_catalog,pg_proc,CHECK,NO,NO,YES
FarmApp,pg_catalog,11_1255_14_not_null,FarmApp,pg_catalog,pg_proc,CHECK,NO,NO,YES
FarmApp,pg_catalog,11_1255_15_not_null,FarmApp,pg_catalog,pg_proc,CHECK,NO,NO,YES
FarmApp,pg_catalog,11_1255_16_not_null,FarmApp,pg_catalog,pg_proc,CHECK,NO,NO,YES
FarmApp,pg_catalog,11_1255_17_not_null,FarmApp,pg_catalog,pg_proc,CHECK,NO,NO,YES
FarmApp,pg_catalog,11_1255_18_not_null,FarmApp,pg_catalog,pg_proc,CHECK,NO,NO,YES
FarmApp,pg_catalog,11_1255_19_not_null,FarmApp,pg_catalog,pg_proc,CHECK,NO,NO,YES
FarmApp,pg_catalog,11_1255_20_not_null,FarmApp,pg_catalog,pg_proc,CHECK,NO,NO,YES
FarmApp,pg_catalog,11_1255_26_not_null,FarmApp,pg_catalog,pg_proc,CHECK,NO,NO,YES
FarmApp,pg_catalog,11_1247_1_not_null,FarmApp,pg_catalog,pg_type,CHECK,NO,NO,YES
FarmApp,pg_catalog,11_1247_2_not_null,FarmApp,pg_catalog,pg_type,CHECK,NO,NO,YES
FarmApp,pg_catalog,11_1247_3_not_null,FarmApp,pg_catalog,pg_type,CHECK,NO,NO,YES
FarmApp,pg_catalog,11_1247_4_not_null,FarmApp,pg_catalog,pg_type,CHECK,NO,NO,YES
FarmApp,pg_catalog,11_1247_5_not_null,FarmApp,pg_catalog,pg_type,CHECK,NO,NO,YES
FarmApp,pg_catalog,11_1247_6_not_null,FarmApp,pg_catalog,pg_type,CHECK,NO,NO,YES
FarmApp,pg_catalog,11_1247_7_not_null,FarmApp,pg_catalog,pg_type,CHECK,NO,NO,YES
FarmApp,pg_catalog,11_1247_8_not_null,FarmApp,pg_catalog,pg_type,CHECK,NO,NO,YES
FarmApp,pg_catalog,11_1247_9_not_null,FarmApp,pg_catalog,pg_type,CHECK,NO,NO,YES
