10830,397,2277,2277,1,btarraycmp
10831,423,1560,1560,1,bitcmp
10832,424,16,16,1,btboolcmp
10833,426,1042,1042,1,bpcharcmp
10834,426,1042,1042,2,bpchar_sortsupport
10835,428,17,17,1,byteacmp
10836,428,17,17,2,bytea_sortsupport
10837,429,18,18,1,btcharcmp
10838,434,1082,1082,1,date_cmp
10839,434,1082,1082,2,date_sortsupport
10840,434,1082,1114,1,date_cmp_timestamp
10841,434,1082,1184,1,date_cmp_timestamptz
10842,434,1114,1114,1,timestamp_cmp
10843,434,1114,1114,2,timestamp_sortsupport
10844,434,1114,1082,1,timestamp_cmp_date
10845,434,1114,1184,1,timestamp_cmp_timestamptz
10846,434,1184,1184,1,timestamptz_cmp
10847,434,1184,1184,2,timestamp_sortsupport
10848,434,1184,1082,1,timestamptz_cmp_date
10849,434,1184,1114,1,timestamptz_cmp_timestamp
10850,434,1082,1186,3,pg_catalog.in_range
10851,434,1114,1186,3,pg_catalog.in_range
10852,434,1184,1186,3,pg_catalog.in_range
10853,1970,700,700,1,btfloat4cmp
10854,1970,700,700,2,btfloat4sortsupport
10855,1970,700,701,1,btfloat48cmp
10856,1970,701,701,1,btfloat8cmp
10857,1970,701,701,2,btfloat8sortsupport
10858,1970,701,700,1,btfloat84cmp
10859,1970,701,701,3,pg_catalog.in_range
10860,1970,700,701,3,pg_catalog.in_range
10861,1974,869,869,1,network_cmp
10862,1976,21,21,1,btint2cmp
10863,1976,21,21,2,btint2sortsupport
10864,1976,21,23,1,btint24cmp
10865,1976,21,20,1,btint28cmp
10866,1976,21,20,3,pg_catalog.in_range
10867,1976,21,23,3,pg_catalog.in_range
10868,1976,21,21,3,pg_catalog.in_range
10869,1976,23,23,1,btint4cmp
10870,1976,23,23,2,btint4sortsupport
10871,1976,23,20,1,btint48cmp
10872,1976,23,21,1,btint42cmp
10873,1976,23,20,3,pg_catalog.in_range
10874,1976,23,23,3,pg_catalog.in_range
10875,1976,23,21,3,pg_catalog.in_range
10876,1976,20,20,1,btint8cmp
10877,1976,20,20,2,btint8sortsupport
10878,1976,20,23,1,btint84cmp
10879,1976,20,21,1,btint82cmp
10880,1976,20,20,3,pg_catalog.in_range
10881,1982,1186,1186,1,interval_cmp
10882,1982,1186,1186,3,pg_catalog.in_range
10883,1984,829,829,1,macaddr_cmp
10884,1984,829,829,2,macaddr_sortsupport
10885,1988,1700,1700,1,numeric_cmp
10886,1988,1700,1700,2,numeric_sortsupport
10887,1988,1700,1700,3,pg_catalog.in_range
10888,1989,26,26,1,btoidcmp
10889,1989,26,26,2,btoidsortsupport
10890,1991,30,30,1,btoidvectorcmp
10891,1994,25,25,1,bttextcmp
10892,1994,25,25,2,bttextsortsupport
10893,1994,19,19,1,btnamecmp
10894,1994,19,19,2,btnamesortsupport
10895,1994,19,25,1,btnametextcmp
10896,1994,25,19,1,bttextnamecmp
10897,1996,1083,1083,1,time_cmp
10898,1996,1083,1186,3,pg_catalog.in_range
10899,2000,1266,1266,1,timetz_cmp
10900,2000,1266,1186,3,pg_catalog.in_range
10901,2002,1562,1562,1,varbitcmp
10902,2095,25,25,1,bttext_pattern_cmp
10903,2095,25,25,2,bttext_pattern_sortsupport
10904,2097,1042,1042,1,btbpchar_pattern_cmp
10905,2097,1042,1042,2,btbpchar_pattern_sortsupport
10906,2099,790,790,1,cash_cmp
10907,2789,27,27,1,bttidcmp
10908,2968,2950,2950,1,uuid_cmp
10909,2968,2950,2950,2,uuid_sortsupport
10910,2994,2249,2249,1,btrecordcmp
10911,3194,2249,2249,1,btrecordimagecmp
10912,3253,3220,3220,1,pg_lsn_cmp
10913,3371,774,774,1,macaddr8_cmp
10914,3522,3500,3500,1,enum_cmp
10915,3626,3614,3614,1,tsvector_cmp
10916,3683,3615,3615,1,tsquery_cmp
10917,3901,3831,3831,1,range_cmp
10918,4033,3802,3802,1,jsonb_cmp
10919,427,1042,1042,1,hashbpchar
10920,427,1042,1042,2,hashbpcharextended
10921,431,18,18,1,hashchar
10922,431,18,18,2,hashcharextended
10923,435,1082,1082,1,hashint4
10924,435,1082,1082,2,hashint4extended
10925,627,2277,2277,1,hash_array
10926,627,2277,2277,2,hash_array_extended
10927,1971,700,700,1,hashfloat4
10928,1971,700,700,2,hashfloat4extended
10929,1971,701,701,1,hashfloat8
10930,1971,701,701,2,hashfloat8extended
10931,1975,869,869,1,hashinet
10932,1975,869,869,2,hashinetextended
10933,1977,21,21,1,hashint2
10934,1977,21,21,2,hashint2extended
10935,1977,23,23,1,hashint4
10936,1977,23,23,2,hashint4extended
10937,1977,20,20,1,hashint8
10938,1977,20,20,2,hashint8extended
10939,1983,1186,1186,1,interval_hash
10940,1983,1186,1186,2,interval_hash_extended
10941,1985,829,829,1,hashmacaddr
10942,1985,829,829,2,hashmacaddrextended
10943,1990,26,26,1,hashoid
10944,1990,26,26,2,hashoidextended
10945,1992,30,30,1,hashoidvector
10946,1992,30,30,2,hashoidvectorextended
10947,1995,25,25,1,hashtext
10948,1995,25,25,2,hashtextextended
10949,1995,19,19,1,hashname
10950,1995,19,19,2,hashnameextended
10951,1997,1083,1083,1,time_hash
10952,1997,1083,1083,2,time_hash_extended
10953,1998,1700,1700,1,hash_numeric
10954,1998,1700,1700,2,hash_numeric_extended
10955,1999,1184,1184,1,timestamp_hash
10956,1999,1184,1184,2,timestamp_hash_extended
10957,2001,1266,1266,1,timetz_hash
10958,2001,1266,1266,2,timetz_hash_extended
10959,2040,1114,1114,1,timestamp_hash
10960,2040,1114,1114,2,timestamp_hash_extended
10961,2222,16,16,1,hashchar
10962,2222,16,16,2,hashcharextended
10963,2223,17,17,1,hashvarlena
10964,2223,17,17,2,hashvarlenaextended
10965,2225,28,28,1,hashint4
10966,2225,28,28,2,hashint4extended
10967,2226,29,29,1,hashint4
10968,2226,29,29,2,hashint4extended
10969,2227,27,27,1,hashtid
10970,2227,27,27,2,hashtidextended
10971,2229,25,25,1,hashtext
10972,2229,25,25,2,hashtextextended
10973,2231,1042,1042,1,hashbpchar
10974,2231,1042,1042,2,hashbpcharextended
10975,2235,1033,1033,1,hash_aclitem
10976,2235,1033,1033,2,hash_aclitem_extended
10977,2969,2950,2950,1,uuid_hash
10978,2969,2950,2950,2,uuid_hash_extended
10979,3254,3220,3220,1,pg_lsn_hash
10980,3254,3220,3220,2,pg_lsn_hash_extended
10981,3372,774,774,1,hashmacaddr8
10982,3372,774,774,2,hashmacaddr8extended
10983,3523,3500,3500,1,hashenum
10984,3523,3500,3500,2,hashenumextended
10985,3903,3831,3831,1,hash_range
10986,3903,3831,3831,2,hash_range_extended
