allow_system_table_mods,off,,Параметры для разработчиков,Разрешает модифицировать структуру системных таблиц.,,postmaster,bool,default,,,,off,off,,,false
application_name,PostgreSQL JDBC Driver,,Отчёты и протоколы / Что записывать,"Задаёт имя приложения, которое будет выводиться в статистике и протоколах.",,user,string,session,,,,"","",,,false
archive_cleanup_command,"",,Журнал WAL / Восстановление из архива,"Задаёт команду оболочки, которая будет выполняться при каждой точке перезапуска.",,sighup,string,default,,,,"","",,,false
archive_command,(disabled),,Журнал WAL / Архивация,"Задаёт команду оболочки, вызываемую для архивации файла WAL.",,sighup,string,default,,,,"","",,,false
archive_mode,off,,Журнал WAL / Архивация,Разрешает архивацию файлов WAL командой archive_command.,,postmaster,enum,default,,,"{always,on,off}",off,off,,,false
archive_timeout,0,s,Журнал WAL / Архивация,"Принудительно переключаться на следующий файл WAL, если начать новый файл за N секунд не удалось.",,sighup,integer,default,0,1073741823,,0,0,,,false
array_nulls,on,,Версия и совместимость платформ / Предыдущие версии PostgreSQL,Разрешать ввод элементов NULL в массивах.,"Когда этот параметр включён, NULL без кавычек при вводе в массив воспринимается как значение NULL, иначе — как строка.",user,bool,default,,,,on,on,,,false
authentication_timeout,60,s,Подключения и аутентификация / Аутентификация,"Ограничивает время, за которое клиент должен пройти аутентификацию.",,sighup,integer,default,1,600,,60,60,,,false
autovacuum,on,,Автоочистка,Запускает подпроцесс автоочистки.,,sighup,bool,default,,,,on,on,,,false
autovacuum_analyze_scale_factor,0.1,,Автоочистка,"Отношение числа добавлений, обновлений или удалений кортежей к reltuples, определяющее потребность в анализе.",,sighup,real,default,0,100,,0.1,0.1,,,false
autovacuum_analyze_threshold,50,,Автоочистка,"Минимальное число добавлений, изменений или удалений кортежей, вызывающее анализ.",,sighup,integer,default,0,2147483647,,50,50,,,false
autovacuum_freeze_max_age,200000000,,Автоочистка,"Возраст, при котором необходима автоочистка таблицы для предотвращения зацикливания ID транзакций.",,postmaster,integer,default,100000,2000000000,,200000000,200000000,,,false
