35301,35304,public,__EFMigrationsHistory,PK___EFMigrationsHistory,0,0,0
35312,35318,api,ApiMethods,PK_ApiMethods,0,0,0
35322,35325,dist,CodeAthTypes,PK_CodeAthTypes,0,0,0
35334,35337,dist,RegionTypes,PK_RegionTypes,18,12,12
35341,35344,dist,Roles,PK_Roles,0,0,0
35348,35354,dist,Vendors,PK_Vendors,0,0,0
35358,35364,log,Logs,PK_Logs,0,0,0
35368,35371,dist,Regions,PK_Regions,0,0,0
35385,35388,api,ApiMethodRoles,PK_ApiMethodRoles,0,0,0
35402,35408,dist,Users,PK_Users,0,0,0
35417,35423,dist,Pharmacies,PK_Pharmacies,0,0,0
35437,35440,tab,Stocks,PK_Stocks,0,0,0
35449,35452,tab,Drugs,PK_Drugs,0,0,0
35471,35474,tab,Sales,PK_Sales,0,0,0
35385,35486,api,ApiMethodRoles,IX_ApiMethodRoles_ApiMethodId,0,0,0
35385,35487,api,ApiMethodRoles,IX_ApiMethodRoles_RoleId,0,0,0
35312,35488,api,ApiMethods,IX_ApiMethods_ApiMethodName,0,0,0
35322,35489,dist,CodeAthTypes,IX_CodeAthTypes_CodeAthId,0,0,0
35417,35490,dist,Pharmacies,IX_Pharmacies_PharmacyId,0,0,0
35417,35491,dist,Pharmacies,IX_Pharmacies_RegionId,3,0,0
35368,35492,dist,Regions,IX_Regions_RegionId,0,0,0
35368,35493,dist,Regions,IX_Regions_RegionTypeId,0,0,0
35402,35494,dist,Users,IX_Users_RoleId,0,0,0
35449,35495,tab,Drugs,IX_Drugs_CodeAthTypeId,0,0,0
35449,35496,tab,Drugs,IX_Drugs_StockId,0,0,0
35449,35497,tab,Drugs,IX_Drugs_VendorId,0,0,0
35471,35498,tab,Sales,IX_Sales_DrugId,0,0,0
35471,35499,tab,Sales,IX_Sales_PharmacyId,0,0,0
35437,35500,tab,Stocks,IX_Stocks_PharmacyId,0,0,0
